# m c logL logPrior
-1.106651509078470497e+01 4.670041513708216740e+00 -1.296015037840387085e+06 -6.123387812728280366e-01
-9.000869110172436294e+00 -8.457062049202706433e+00 -1.284056275219000410e+06 -4.050782236922816915e-01
1.647454179268816077e+01 7.750305864440041326e+00 -1.282317784700510791e+06 -1.357052636395144063e+00
1.698136865776391602e+01 4.145276124365800285e+00 -1.273831242525865324e+06 -1.441834407454433142e+00
1.759527298266197803e+01 -1.321082925851824186e-01 -1.267785430423877435e+06 -1.547968156671972739e+00
-1.118810989701969660e+01 6.595526894271690921e+00 -1.265974645919691306e+06 -6.258690153389503408e-01
1.866796339175921204e+01 -7.491447495669540935e+00 -1.264752080036317231e+06 -1.742464285980310557e+00
1.740156486386647927e+01 9.928215086238949549e-01 -1.263311899169828510e+06 -1.514072298556761842e+00
-9.787556110986544766e+00 -2.250294511878745407e+00 -1.252823634668119019e+06 -4.789812731285503222e-01
-8.709006022548209103e+00 -9.209289315207293214e+00 -1.252307962275898550e+06 -3.792339295039048874e-01
-1.010615968045754087e+01 2.212599912572521532e-02 -1.247970238102247240e+06 -5.106723174345282334e-01
-1.070094438301396877e+01 4.032719678961584009e+00 -1.246571379926600028e+06 -5.725510534417910247e-01
-1.032297649206197221e+01 1.606686263358025002e+00 -1.243934159553983947e+06 -5.328192182783205721e-01
1.791292433831533515e+01 -3.246962250359242130e+00 -1.241094430845495779e+06 -1.604364291751049443e+00
-9.855526288234004895e+00 -1.363258744553584867e+00 -1.240665524427886819e+06 -4.856569920903576754e-01
-9.542926651738067534e+00 -3.378695902652659733e+00 -1.239792985350386472e+06 -4.553372454022636129e-01
-8.841683796488899461e+00 -7.836892320283623370e+00 -1.237572988134663319e+06 -3.908768617854718186e-01
1.854470405231662156e+01 -7.822753111688291128e+00 -1.233720965822850587e+06 -1.719530241940042448e+00
1.599718964615086136e+01 8.988308937327097681e+00 -1.230479280045870692e+06 -1.279550382874581782e+00
-1.056313453340443864e+01 3.707921572796549547e+00 -1.230457963528501336e+06 -5.578990558540071198e-01
-9.343078703430000687e+00 -4.164886074765551172e+00 -1.225554768896793481e+06 -4.364655982924361410e-01
-9.559964625669200800e+00 -2.463006656334979283e+00 -1.217688486298823496e+06 -4.569646182202322660e-01
-8.401520685448945258e+00 -9.750877380951544993e+00 -1.212352978952577803e+06 -3.529277491401325850e-01
-8.519373867137606027e+00 -8.677377857001793870e+00 -1.203413344345869031e+06 -3.628986554403358378e-01
1.748992836379802540e+01 -2.040696264404476601e+00 -1.197495771032777848e+06 -1.529487970853933509e+00
-8.869439612598826628e+00 -6.139387569981034076e+00 -1.195455042721957900e+06 -3.933347952076861054e-01
1.681923192878268480e+01 2.199096516495678166e+00 -1.191474226047777338e+06 -1.414432813370914532e+00
-9.916835274597092464e+00 1.038581755226328340e+00 -1.186663240179094952e+06 -4.917181093174659567e-01
-9.212095531794542325e+00 -3.485803069794078723e+00 -1.183728657539308537e+06 -4.243135204345448441e-01
-9.967256538958828571e+00 1.490564262704550558e+00 -1.183545227923650760e+06 -4.967310145670876254e-01
-9.632259212660866154e+00 -4.527131182469226189e-01 -1.176257933406195836e+06 -4.639020876994506826e-01
-8.733926147504934789e+00 -6.309909817698330592e+00 -1.176224702461346751e+06 -3.814073297503519644e-01
-8.151328549799485401e+00 -9.845334178903165423e+00 -1.170821333557177102e+06 -3.322207856338809662e-01
-1.107602553318076488e+01 9.655849326005895961e+00 -1.165813286961085862e+06 -6.133917080583611847e-01
-8.513441311048248750e+00 -7.097105191566251747e+00 -1.159041562024763552e+06 -3.623934147833146047e-01
1.595428260814780508e+01 6.570776147580262183e+00 -1.156788404072342906e+06 -1.272695667703237721e+00
-8.057813804508665356e+00 -9.430903682601982752e+00 -1.143245090746376896e+06 -3.246418165406520506e-01
-9.282211955548907767e+00 -1.166024985546670223e+00 -1.134157161696068011e+06 -4.307972939386753852e-01
-1.011162271521188494e+01 4.716354767360096290e+00 -1.124682556592209963e+06 -5.112245696739449174e-01
-9.355146874119517619e+00 -1.925160621541475159e-01 -1.121277035175354220e+06 -4.375938651817409264e-01
-7.992680608442285894e+00 -9.007757306997786984e+00 -1.120625232984624803e+06 -3.194147165428468105e-01
-8.264634710437913867e+00 -7.223493201658891749e+00 -1.119465453591717407e+06 -3.415209344848758599e-01
1.563559074642053481e+01 7.195244547439995308e+00 -1.118370393246610649e+06 -1.222358489947757532e+00
-9.567383858378464723e+00 1.325305785944622450e+00 -1.118352116193032591e+06 -4.576741694678039263e-01
-9.557693097305284269e+00 1.312571003105549750e+00 -1.117020354621789651e+06 -4.567474867113853754e-01
1.753181907186831268e+01 -5.596013092809023703e+00 -1.113262860059127212e+06 -1.536823399843627591e+00
